params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",4386.19%,1792,-3728966.64,"{'2022-02-08': -114954.38, '2022-03-02': -32045.28, '2022-03-29': -19427.25, '2022-05-10': -3728966.64, '2022-06-01': -13596.2, '2023-03-19': -21258.14}",6
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",1463.34%,1697,-201034.23,"{'2022-02-08': -35166.32, '2022-03-02': -17446.74, '2022-03-29': -10375.56, '2022-05-10': -201034.23, '2022-09-19': -12018.46, '2023-03-14': -87691.2, '2023-03-20': -14231.06}",7
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",2736.08%,1752,-499803.88,"{'2022-02-08': -66606.45, '2022-03-02': -28597.16, '2022-03-29': -18325.47, '2022-05-10': -499803.88, '2022-06-01': -12144.88, '2023-03-19': -10292.41}",6
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",994.78%,1672,-162702.82,"{'2022-02-08': -35772.91, '2022-03-02': -14548.23, '2022-05-10': -162702.82, '2023-03-14': -56012.09, '2023-03-20': -12503.17}",5
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",2650.73%,1715,-500100.76,"{'2022-02-08': -27812.33, '2022-03-02': -28607.13, '2022-05-10': -500100.76, '2023-03-20': -16149.42}",4
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",1053.84%,1629,-80495.68,"{'2022-02-08': -19229.39, '2022-03-02': -10497.13, '2022-05-10': -80495.68, '2023-03-14': -34452.59, '2023-03-23': -12273.3}",5
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",1136.05%,1629,-180234.11,"{'2022-02-08': -10059.03, '2022-03-02': -30337.58, '2022-05-10': -180234.11}",3
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.02",806.14%,1596,-48700.25,"{'2022-02-08': -11314.6, '2022-03-02': -10507.1, '2022-05-10': -48700.25, '2023-03-14': -36738.78}",4
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",366.04%,1634,-90104.17,"{'2022-03-02': -26151.33, '2022-05-10': -90104.17}",2
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.02",797.61%,1583,-41106.55,"{'2022-03-02': -10507.1, '2022-05-10': -41106.55, '2023-03-14': -36946.61}",3
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",2819.22%,1670,-1761681.67,"{'2022-02-08': -102368.52, '2022-03-02': -25930.99, '2022-05-10': -1761681.67, '2023-01-14': -73372.31, '2023-03-19': -14072.08}",5
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",798.74%,1537,-85126.2,"{'2022-02-08': -30888.27, '2022-03-02': -12344.44, '2022-05-10': -85126.2, '2023-01-14': -30630.79, '2023-03-14': -46065.23, '2023-06-24': -19531.35}",6
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",2013.44%,1575,-238433.46,"{'2022-02-08': -23529.57, '2022-03-02': -23177.58, '2022-05-10': -238433.46, '2023-01-14': -73743.84, '2023-03-20': -10392.34, '2023-06-22': -16794.58}",6
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",604.04%,1563,-85782.28,"{'2022-02-08': -31946.34, '2022-03-02': -10105.01, '2022-05-10': -85782.28, '2023-01-14': -18867.8, '2023-03-14': -31784.83, '2023-06-24': -15133.59}",6
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",929.36%,1578,-92855.81,"{'2022-02-08': -23569.67, '2022-03-02': -23177.58, '2022-05-10': -92855.81, '2023-01-14': -29517.65, '2023-03-20': -11559.03, '2023-06-22': -17226.35}",6
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",495.22%,1500,-27636.3,"{'2022-02-08': -16293.43, '2022-05-10': -27636.3, '2023-01-14': -12557.95, '2023-03-14': -22392.73, '2023-07-14': -21212.74}",5
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",1051.49%,1547,-94108.21,"{'2022-03-02': -24714.42, '2022-05-10': -94108.21, '2023-01-14': -30801.82, '2023-06-24': -20704.61}",4
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.02",522.33%,1445,-28732.44,"{'2022-05-10': -28732.44, '2023-01-14': -13049.48, '2023-03-14': -24036.4, '2023-07-14': -22393.3}",4
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",619.19%,1481,-30798.8,"{'2022-03-02': -15510.59, '2022-05-10': -23082.45, '2023-01-14': -30798.8, '2023-03-15': -23520.28}",4
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.02",365.03%,1403,-14751.67,"{'2022-02-08': -10592.3, '2022-05-10': -13731.52, '2023-01-14': -13113.33, '2023-03-14': -14751.67, '2023-07-06': -10656.75, '2023-07-14': -14337.36}",6
"continuous_increase_rate_0.004, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",1562.4%,1535,-623305.01,"{'2022-02-08': -211716.32, '2022-05-10': -623305.01, '2023-01-14': -54150.18}",3
