datetime,symbol,direction,offset,volume,price
2022-01-01 00:45:00,AVAXUSDT.BYBIT,多,开,3.8,107.505
2022-01-01 00:45:00,AVAXUSDT.BYBIT,空,开,3.8,107.505
2022-01-01 04:00:00,AVAXUSDT.BYBIT,多,开,8.0,103.715
2022-01-01 04:00:00,AVAXUSDT.BYBIT,空,开,0.2,103.715
2022-01-01 04:45:00,AVAXUSDT.BYBIT,空,平,7.9,106.56
2022-01-01 04:45:00,AVAXUSDT.BYBIT,空,开,7.7,106.56
2022-01-01 05:45:00,AVAXUSDT.BYBIT,空,平,0.1,107.73
2022-01-01 06:40:00,AVAXUSDT.BYBIT,空,开,15.0,109.945
2022-01-01 09:00:00,AVAXUSDT.BYBIT,空,平,0.1,111.065
2022-01-02 02:00:00,AVAXUSDT.BYBIT,空,平,0.1,113.24
2022-01-02 12:25:00,AVAXUSDT.BYBIT,空,平,0.1,116.725
2022-01-02 12:25:00,AVAXUSDT.BYBIT,空,开,28.2,116.725
2022-01-02 23:10:00,AVAXUSDT.BYBIT,多,开,7.2,114.325
2022-01-03 18:45:00,AVAXUSDT.BYBIT,多,平,51.2,111.275
2022-01-04 00:40:00,AVAXUSDT.BYBIT,多,开,15.1,109.38
2022-01-04 00:40:00,AVAXUSDT.BYBIT,空,开,0.1,109.38
2022-01-04 10:20:00,AVAXUSDT.BYBIT,空,开,0.1,105.84
2022-01-04 23:20:00,AVAXUSDT.BYBIT,空,开,7.6,108.65
2022-01-05 03:10:00,AVAXUSDT.BYBIT,多,平,7.6,105.65
2022-01-05 04:10:00,AVAXUSDT.BYBIT,空,开,0.1,104.0
2022-01-05 17:20:00,AVAXUSDT.BYBIT,空,开,7.7,106.2
2022-01-06 02:20:00,AVAXUSDT.BYBIT,多,开,32.2,102.53
2022-01-06 02:20:00,AVAXUSDT.BYBIT,多,平,7.7,102.53
2022-01-06 04:20:00,AVAXUSDT.BYBIT,空,开,0.2,98.81
2022-01-06 05:30:00,AVAXUSDT.BYBIT,多,开,67.2,98.075
2022-01-06 06:35:00,AVAXUSDT.BYBIT,空,开,0.2,94.245
2022-01-06 07:50:00,AVAXUSDT.BYBIT,空,开,8.4,97.77
2022-01-06 10:25:00,AVAXUSDT.BYBIT,多,平,8.5,95.52
2022-01-06 11:35:00,AVAXUSDT.BYBIT,空,开,0.1,94.32
2022-01-06 12:10:00,AVAXUSDT.BYBIT,多,开,141.1,93.4
2022-01-06 18:05:00,AVAXUSDT.BYBIT,空,开,0.1,92.355
2022-01-07 00:20:00,AVAXUSDT.BYBIT,空,开,8.7,94.315
