datetime,symbol,direction,offset,volume,price
2022-01-01 00:45:00,XRPUSDT.BYBIT,多,开,491.0,0.8399
2022-01-01 00:45:00,XRPUSDT.BYBIT,空,开,491.0,0.8399
2022-01-01 02:25:00,XRPUSDT.BYBIT,空,开,5.0,0.8299
2022-01-01 04:00:00,XRPUSDT.BYBIT,多,开,1017.0,0.8096
2022-01-01 04:00:00,XRPUSDT.BYBIT,空,开,13.0,0.8096
2022-01-01 06:20:00,XRPUSDT.BYBIT,空,平,1011.0,0.8286
2022-01-01 06:20:00,XRPUSDT.BYBIT,空,开,994.0,0.8286
2022-01-01 09:45:00,XRPUSDT.BYBIT,空,平,8.0,0.8427
2022-01-02 03:35:00,XRPUSDT.BYBIT,空,平,5.0,0.8512
2022-01-03 00:10:00,XRPUSDT.BYBIT,空,开,1927.0,0.8555
2022-01-03 01:05:00,XRPUSDT.BYBIT,空,平,5.0,0.8604
2022-01-03 17:00:00,XRPUSDT.BYBIT,多,开,979.0,0.8415
2022-01-04 01:10:00,XRPUSDT.BYBIT,多,平,2934.0,0.8312
2022-01-06 02:20:00,XRPUSDT.BYBIT,空,开,6.0,0.821
2022-01-06 04:35:00,XRPUSDT.BYBIT,多,开,2080.0,0.7924
2022-01-06 04:35:00,XRPUSDT.BYBIT,空,开,18.0,0.7924
2022-01-06 06:40:00,XRPUSDT.BYBIT,空,开,16.0,0.7693
2022-01-06 06:55:00,XRPUSDT.BYBIT,空,开,6.0,0.7608
2022-01-06 12:30:00,XRPUSDT.BYBIT,空,开,5.0,0.7528
2022-01-06 18:00:00,XRPUSDT.BYBIT,多,开,4417.0,0.7461
2022-01-06 18:10:00,XRPUSDT.BYBIT,空,开,6.0,0.7451
2022-01-06 22:30:00,XRPUSDT.BYBIT,空,开,1084.0,0.7603
2022-01-07 05:45:00,XRPUSDT.BYBIT,空,平,7430.0,0.7848
2022-01-07 12:40:00,XRPUSDT.BYBIT,多,开,1113.0,0.7403
2022-01-07 12:40:00,XRPUSDT.BYBIT,多,平,1080.0,0.7403
2022-01-07 17:00:00,XRPUSDT.BYBIT,空,平,1100.0,0.7657
2022-01-07 17:00:00,XRPUSDT.BYBIT,空,开,1076.0,0.7657
2022-01-07 23:55:00,XRPUSDT.BYBIT,多,开,1099.0,0.75
2022-01-08 00:05:00,XRPUSDT.BYBIT,多,平,1083.0,0.7493
2022-01-08 01:10:00,XRPUSDT.BYBIT,空,平,1099.0,0.7658
2022-01-08 01:10:00,XRPUSDT.BYBIT,空,开,1076.0,0.7658
2022-01-08 15:35:00,XRPUSDT.BYBIT,空,平,5.0,0.7735
2022-01-08 23:40:00,XRPUSDT.BYBIT,多,开,1090.0,0.7558
2022-01-09 01:25:00,XRPUSDT.BYBIT,多,平,1077.0,0.7511
2022-01-09 02:15:00,XRPUSDT.BYBIT,空,开,9.0,0.7382
2022-01-09 03:25:00,XRPUSDT.BYBIT,多,开,2259.0,0.7294
2022-01-09 03:25:00,XRPUSDT.BYBIT,空,开,7.0,0.7294
2022-01-09 06:35:00,XRPUSDT.BYBIT,空,平,3337.0,0.7554
2022-01-09 06:35:00,XRPUSDT.BYBIT,空,开,1091.0,0.7554
2022-01-10 04:30:00,XRPUSDT.BYBIT,空,平,6.0,0.7639
2022-01-10 17:00:00,XRPUSDT.BYBIT,多,开,1102.0,0.748
2022-01-10 21:05:00,XRPUSDT.BYBIT,多,平,1097.0,0.7367
2022-01-10 22:40:00,XRPUSDT.BYBIT,多,开,2302.0,0.7159
2022-01-10 22:40:00,XRPUSDT.BYBIT,空,开,16.0,0.7159
2022-01-11 00:50:00,XRPUSDT.BYBIT,空,开,1119.0,0.7364
2022-01-11 01:00:00,XRPUSDT.BYBIT,空,平,3385.0,0.739
2022-01-11 01:55:00,XRPUSDT.BYBIT,多,开,1138.0,0.7236
2022-01-11 07:45:00,XRPUSDT.BYBIT,空,平,1137.0,0.7367
2022-01-11 12:10:00,XRPUSDT.BYBIT,空,平,6.0,0.7453
2022-01-12 01:20:00,XRPUSDT.BYBIT,空,平,11.0,0.7606
2022-01-12 01:20:00,XRPUSDT.BYBIT,空,开,2167.0,0.7606
2022-01-12 07:30:00,XRPUSDT.BYBIT,空,平,7.0,0.7699
2022-01-12 22:35:00,XRPUSDT.BYBIT,空,平,15.0,0.7924
2022-01-13 05:35:00,XRPUSDT.BYBIT,空,平,6.0,0.8018
2022-01-14 00:05:00,XRPUSDT.BYBIT,多,开,1062.0,0.7757
2022-01-18 17:25:00,XRPUSDT.BYBIT,多,开,2217.0,0.7433
2022-01-19 16:10:00,XRPUSDT.BYBIT,多,平,3296.0,0.7286
2022-01-19 23:10:00,XRPUSDT.BYBIT,空,开,1109.0,0.7433
2022-01-21 08:10:00,XRPUSDT.BYBIT,多,平,1102.0,0.7207
2022-01-21 10:20:00,XRPUSDT.BYBIT,空,开,13.0,0.7048
