datetime,symbol,direction,offset,volume,price
2022-01-01 00:45:00,SOLUSDT.BYBIT,多,开,2.3,175.395
2022-01-01 00:45:00,SOLUSDT.BYBIT,空,开,2.3,175.395
2022-01-01 01:55:00,SOLUSDT.BYBIT,空,开,0.1,172.181
2022-01-01 04:00:00,SOLUSDT.BYBIT,多,开,4.9,169.044
2022-01-01 09:45:00,SOLUSDT.BYBIT,空,平,4.8,173.389
2022-01-01 09:45:00,SOLUSDT.BYBIT,空,开,4.8,173.389
2022-01-02 04:15:00,SOLUSDT.BYBIT,空,平,0.1,176.968
2022-01-02 08:55:00,SOLUSDT.BYBIT,空,开,9.2,178.858
2022-01-02 17:15:00,SOLUSDT.BYBIT,多,开,4.7,175.245
2022-01-03 10:40:00,SOLUSDT.BYBIT,多,平,14.0,174.009
2022-01-04 04:50:00,SOLUSDT.BYBIT,多,开,9.8,168.474
2022-01-04 23:20:00,SOLUSDT.BYBIT,空,开,4.8,173.277
2022-01-05 03:05:00,SOLUSDT.BYBIT,多,平,4.8,168.718
2022-01-06 02:20:00,SOLUSDT.BYBIT,空,开,0.1,164.541
2022-01-06 04:20:00,SOLUSDT.BYBIT,空,开,0.1,158.647
2022-01-06 05:05:00,SOLUSDT.BYBIT,多,开,20.9,157.954
2022-01-06 06:40:00,SOLUSDT.BYBIT,空,开,0.1,151.041
2022-01-06 06:55:00,SOLUSDT.BYBIT,多,开,43.7,150.666
2022-01-06 07:55:00,SOLUSDT.BYBIT,空,开,5.3,154.968
2022-01-06 10:40:00,SOLUSDT.BYBIT,多,平,5.3,151.665
2022-01-06 12:10:00,SOLUSDT.BYBIT,空,开,0.1,149.461
2022-01-07 02:00:00,SOLUSDT.BYBIT,空,开,5.4,152.023
2022-01-07 09:05:00,SOLUSDT.BYBIT,多,平,5.4,147.349
2022-01-07 11:45:00,SOLUSDT.BYBIT,多,开,92.6,142.459
2022-01-07 11:45:00,SOLUSDT.BYBIT,空,开,0.1,142.459
2022-01-07 12:45:00,SOLUSDT.BYBIT,空,开,0.1,138.574
2022-01-07 15:20:00,SOLUSDT.BYBIT,多,开,193.4,136.268
2022-01-07 16:40:00,SOLUSDT.BYBIT,空,开,5.9,139.738
2022-01-08 00:25:00,SOLUSDT.BYBIT,多,平,5.9,135.988
2022-01-08 01:10:00,SOLUSDT.BYBIT,空,开,6.0,138.918
2022-01-08 16:30:00,SOLUSDT.BYBIT,空,平,257.2,144.879
2022-01-08 16:30:00,SOLUSDT.BYBIT,空,开,11.3,144.879
2022-01-08 18:45:00,SOLUSDT.BYBIT,空,平,107.4,147.192
2022-01-08 23:40:00,SOLUSDT.BYBIT,多,开,5.8,142.99
2022-01-09 02:15:00,SOLUSDT.BYBIT,多,开,12.0,136.316
2022-01-09 02:15:00,SOLUSDT.BYBIT,多,平,17.3,136.316
2022-01-09 03:25:00,SOLUSDT.BYBIT,空,开,0.1,134.572
2022-01-09 06:30:00,SOLUSDT.BYBIT,空,平,17.8,145.789
2022-01-09 06:30:00,SOLUSDT.BYBIT,空,开,5.6,145.789
2022-01-09 08:10:00,SOLUSDT.BYBIT,多,开,5.8,142.512
2022-01-09 17:05:00,SOLUSDT.BYBIT,多,平,5.7,139.568
2022-01-10 01:45:00,SOLUSDT.BYBIT,空,开,5.7,143.647
2022-01-10 04:10:00,SOLUSDT.BYBIT,空,平,5.8,145.074
2022-01-10 07:40:00,SOLUSDT.BYBIT,多,开,5.9,140.658
2022-01-10 07:40:00,SOLUSDT.BYBIT,多,平,5.8,140.658
2022-01-10 21:35:00,SOLUSDT.BYBIT,多,开,12.1,135.87
2022-01-10 21:35:00,SOLUSDT.BYBIT,空,开,0.1,135.87
2022-01-10 22:40:00,SOLUSDT.BYBIT,空,开,0.1,132.678
2022-01-11 00:50:00,SOLUSDT.BYBIT,空,开,6.1,135.548
2022-01-11 02:00:00,SOLUSDT.BYBIT,多,平,6.1,133.097
2022-01-11 07:50:00,SOLUSDT.BYBIT,空,开,6.1,135.787
2022-01-12 01:20:00,SOLUSDT.BYBIT,空,平,17.9,141.367
2022-01-12 01:20:00,SOLUSDT.BYBIT,空,开,11.6,141.367
2022-01-12 22:25:00,SOLUSDT.BYBIT,空,平,0.1,146.653
2022-01-13 01:00:00,SOLUSDT.BYBIT,空,平,0.1,151.047
2022-01-13 01:00:00,SOLUSDT.BYBIT,空,开,21.8,151.047
2022-01-13 22:50:00,SOLUSDT.BYBIT,空,平,0.1,156.831
2022-01-13 22:50:00,SOLUSDT.BYBIT,空,开,42.1,156.831
2022-01-13 23:55:00,SOLUSDT.BYBIT,多,开,5.4,153.339
2022-01-14 04:15:00,SOLUSDT.BYBIT,多,开,11.2,147.332
2022-01-14 04:15:00,SOLUSDT.BYBIT,多,平,81.9,147.332
2022-01-14 19:45:00,SOLUSDT.BYBIT,空,开,0.1,142.786
2022-01-14 23:30:00,SOLUSDT.BYBIT,空,开,5.6,147.002
2022-01-17 12:05:00,SOLUSDT.BYBIT,多,平,5.6,143.712
2022-01-18 02:45:00,SOLUSDT.BYBIT,空,开,0.1,139.344
2022-01-18 05:50:00,SOLUSDT.BYBIT,多,开,23.8,138.139
2022-01-18 09:00:00,SOLUSDT.BYBIT,空,开,5.8,141.103
2022-01-18 17:30:00,SOLUSDT.BYBIT,多,平,5.8,137.561
2022-01-19 06:00:00,SOLUSDT.BYBIT,空,开,5.9,140.367
2022-01-19 16:10:00,SOLUSDT.BYBIT,多,平,5.8,134.624
2022-01-19 23:20:00,SOLUSDT.BYBIT,空,开,5.9,138.001
2022-01-20 10:00:00,SOLUSDT.BYBIT,多,平,6.0,135.184
2022-01-20 23:15:00,SOLUSDT.BYBIT,空,开,5.9,141.65
2022-01-21 06:25:00,SOLUSDT.BYBIT,多,平,5.8,132.775
2022-01-21 06:50:00,SOLUSDT.BYBIT,多,开,50.0,131.883
2022-01-21 08:20:00,SOLUSDT.BYBIT,空,开,0.1,127.873
2022-01-21 10:00:00,SOLUSDT.BYBIT,多,开,106.6,123.774
2022-01-21 10:00:00,SOLUSDT.BYBIT,空,开,0.1,123.774
2022-01-21 11:00:00,SOLUSDT.BYBIT,空,开,6.5,126.382
2022-01-21 17:50:00,SOLUSDT.BYBIT,多,平,6.5,124.017
2022-01-21 19:55:00,SOLUSDT.BYBIT,空,开,0.1,122.063
2022-01-21 20:55:00,SOLUSDT.BYBIT,多,开,223.0,118.194
2022-01-21 20:55:00,SOLUSDT.BYBIT,空,开,0.1,118.194
2022-01-22 00:15:00,SOLUSDT.BYBIT,空,开,6.8,121.744
2022-01-22 04:55:00,SOLUSDT.BYBIT,多,平,6.8,119.251
2022-01-22 06:05:00,SOLUSDT.BYBIT,空,开,0.1,114.676
2022-01-22 06:25:00,SOLUSDT.BYBIT,多,开,466.2,113.122
2022-01-22 07:00:00,SOLUSDT.BYBIT,空,开,0.1,110.652
2022-01-22 12:15:00,SOLUSDT.BYBIT,空,开,0.1,109.522
2022-01-22 14:40:00,SOLUSDT.BYBIT,多,开,1029.3,102.472
2022-01-22 14:40:00,SOLUSDT.BYBIT,空,开,0.2,102.472
2022-01-22 15:55:00,SOLUSDT.BYBIT,空,开,0.1,101.173
2022-01-22 16:00:00,SOLUSDT.BYBIT,多,开,2090.1,100.926
2022-01-22 18:25:00,SOLUSDT.BYBIT,多,开,4468.0,94.424
2022-01-22 18:25:00,SOLUSDT.BYBIT,空,开,0.3,94.424
2022-01-22 19:10:00,SOLUSDT.BYBIT,空,开,8.4,98.208
2022-01-22 21:00:00,SOLUSDT.BYBIT,空,平,4238.1,101.138
2022-01-22 21:00:00,SOLUSDT.BYBIT,空,开,16.3,101.138
2022-01-22 21:25:00,SOLUSDT.BYBIT,空,平,2966.7,101.73
2022-01-22 23:35:00,SOLUSDT.BYBIT,多,平,24.8,95.433
2022-01-23 00:05:00,SOLUSDT.BYBIT,空,开,0.1,93.733
2022-01-23 00:40:00,SOLUSDT.BYBIT,空,开,8.6,95.765
2022-01-23 01:45:00,SOLUSDT.BYBIT,多,平,8.6,93.803
2022-01-23 02:15:00,SOLUSDT.BYBIT,空,开,0.1,92.294
