datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-01-01 00:45:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,491.0,0.8399,-491.0,0.8399,-412.0
2022-01-01 02:25:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5.0,0.8299,-496.0,0.8299,-412.0
2022-01-01 04:00:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,13.0,0.8096,-509.0,0.8096,-412.0
2022-01-01 06:20:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,994.0,0.8286,-1503.0,0.8222,-1236.0
2022-01-03 00:10:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1927.0,0.8555,-3430.0,0.8409,-2884.0
2022-01-04 01:10:00,XRPUSDT.BYBIT,Direction.LONG,Offset.CLOSE,2934.0,0.8312,-496.0,0.8312,-412.0
2022-01-06 02:20:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6.0,0.821,-502.0,0.821,-412.0
2022-01-06 04:35:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,18.0,0.7924,-520.0,0.7924,-412.0
2022-01-06 06:40:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,16.0,0.7693,-536.0,0.7693,-412.0
2022-01-06 06:55:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6.0,0.7608,-542.0,0.7608,-412.0
2022-01-06 12:30:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5.0,0.7528,-547.0,0.7528,-412.0
2022-01-06 18:10:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6.0,0.7451,-553.0,0.7451,-412.0
2022-01-06 22:30:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1084.0,0.7603,-1637.0,0.7552,-1236.0
2022-01-07 12:40:00,XRPUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1080.0,0.7403,-557.0,0.7403,-412.0
2022-01-07 17:00:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1076.0,0.7657,-1633.0,0.757,-1236.0
2022-01-08 00:05:00,XRPUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1083.0,0.7493,-550.0,0.7493,-412.0
2022-01-08 01:10:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1076.0,0.7658,-1626.0,0.7602,-1236.0
2022-01-09 01:25:00,XRPUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1077.0,0.7511,-549.0,0.7511,-412.0
2022-01-09 02:15:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.0,0.7382,-558.0,0.7382,-412.0
2022-01-09 03:25:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.0,0.7294,-565.0,0.7294,-412.0
2022-01-09 06:35:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1091.0,0.7554,-1656.0,0.7465,-1236.0
2022-01-10 21:05:00,XRPUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1097.0,0.7367,-559.0,0.7367,-412.0
2022-01-10 22:40:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,16.0,0.7159,-575.0,0.7159,-412.0
2022-01-11 00:50:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1119.0,0.7364,-1694.0,0.7294,-1236.0
2022-01-12 01:20:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2167.0,0.7606,-3861.0,0.7469,-2884.0
