datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-01-01 00:45:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,3.8,107.505,3.8,107.505,409.0
2022-01-01 04:00:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,8.0,103.715,11.8,104.935,1238.0
2022-01-01 04:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,7.9,106.56,3.9,106.56,416.0
2022-01-01 05:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,107.73,3.8,107.73,409.0
2022-01-01 09:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,111.065,3.7,111.065,411.0
2022-01-02 02:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,113.24,3.6,113.24,408.0
2022-01-02 12:25:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,116.725,3.5,116.725,409.0
2022-01-02 23:10:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,7.2,114.325,10.7,115.11,1232.0
2022-01-04 00:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,15.1,109.38,25.8,111.755,2883.0
2022-01-06 02:20:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,32.2,102.53,58.0,106.635,6185.0
2022-01-06 05:30:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,67.2,98.075,125.2,102.04,12775.0
2022-01-06 12:10:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,141.1,93.4,266.3,97.46,25954.0
2022-01-07 12:45:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,305.2,86.415,571.5,91.565,52328.0
2022-01-09 00:05:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,633.2,83.285,1204.7,87.21,105064.0
2022-01-09 03:25:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,1315.6,80.17,2520.3,83.535,210536.0
2022-01-09 06:55:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1260.2,84.735,1260.1,83.535,105264.0
2022-01-09 11:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,882.1,85.73,378.0,83.535,31577.0
2022-01-10 00:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,373.3,87.04,4.7,87.04,409.0
2022-01-10 01:40:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,88.87,4.6,88.87,409.0
2022-01-10 04:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,91.065,4.5,91.065,410.0
2022-01-10 07:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.3,88.525,13.8,89.355,1233.0
2022-01-10 13:10:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9.2,90.25,4.6,90.25,415.0
2022-01-10 17:20:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.3,88.305,13.9,88.95,1236.0
2022-01-10 21:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,19.6,84.26,33.5,86.205,2888.0
2022-01-12 01:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,28.9,89.95,4.6,89.95,414.0
2022-01-12 15:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,91.415,4.5,91.415,411.0
2022-01-12 18:25:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,93.865,4.4,93.865,413.0
2022-01-12 20:50:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,95.375,4.3,95.375,410.0
2022-01-13 11:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,8.8,93.44,13.1,94.075,1232.0
2022-01-13 17:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.8,95.13,4.3,95.13,409.0
2022-01-13 23:55:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,8.8,93.53,13.1,94.505,1238.0
2022-01-14 07:25:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,18.3,90.02,31.4,91.89,2885.0
2022-01-16 01:05:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,27.0,92.87,4.4,92.87,409.0
2022-01-16 14:30:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,8.9,92.085,13.3,92.705,1233.0
2022-01-16 16:25:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.9,93.675,4.4,93.675,412.0
2022-01-17 09:50:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.0,91.74,13.4,92.375,1238.0
2022-01-17 20:25:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,18.6,88.51,32.0,90.13,2884.0
2022-01-19 16:10:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,40.3,81.7,72.3,85.43,6177.0
2022-01-20 23:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,67.6,86.955,4.7,86.955,409.0
2022-01-21 06:50:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,10.2,81.01,14.9,82.885,1235.0
2022-01-21 08:15:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,20.8,79.365,35.7,80.835,2886.0
2022-01-21 21:00:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,45.1,73.06,80.8,76.495,6181.0
2022-01-22 06:25:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,98.7,66.81,179.5,71.17,12775.0
2022-01-22 14:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,211.2,62.42,390.7,66.44,25958.0
2022-01-22 16:00:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,440.1,59.91,830.8,62.98,52324.0
2022-01-22 18:20:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,955.2,55.21,1786.0,58.825,105061.0
2022-01-22 21:30:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,893.0,61.515,893.0,58.825,52531.0
2022-01-22 21:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,625.1,61.635,267.9,58.825,15759.0
2022-01-22 21:40:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,261.2,61.645,6.7,61.645,413.0
2022-01-22 22:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,13.8,59.815,20.5,60.415,1238.0
2022-01-22 23:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,28.4,57.98,48.9,59.0,2885.0
2022-01-23 06:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,42.1,60.305,6.8,60.305,410.0
2022-01-23 09:10:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,61.36,6.7,61.36,411.0
2022-01-23 11:35:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,13.9,59.55,20.6,60.14,1239.0
2022-01-23 12:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,13.8,60.855,6.8,60.855,414.0
2022-01-23 16:05:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.3,63.52,6.5,63.52,413.0
2022-01-23 18:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.3,66.01,6.2,66.01,409.0
2022-01-23 19:50:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.8,64.505,19.0,64.995,1235.0
2022-01-24 03:25:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,26.9,61.4,45.9,62.89,2887.0
2022-01-24 07:55:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,39.5,64.635,6.4,64.635,414.0
2022-01-24 09:00:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,13.1,62.665,19.5,63.31,1235.0
2022-01-24 13:30:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,27.2,60.75,46.7,61.82,2887.0
2022-01-24 21:00:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,58.7,56.105,105.4,58.635,6180.0
2022-01-25 03:10:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,98.7,61.895,6.7,61.895,415.0
2022-01-25 05:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,62.555,6.6,62.555,413.0
2022-01-25 11:05:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,63.18,6.5,63.18,411.0
2022-01-25 18:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,64.27,6.4,64.27,411.0
2022-01-25 22:50:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,65.83,6.3,65.83,415.0
2022-01-26 01:55:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.2,67.5,6.1,67.5,412.0
2022-01-26 02:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,68.925,6.0,68.925,414.0
2022-01-26 05:45:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.2,67.48,18.2,67.955,1237.0
2022-01-26 12:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.2,68.675,6.0,68.675,412.0
2022-01-26 22:30:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.2,71.09,5.8,71.09,412.0
2022-01-27 02:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.2,67.39,18.0,68.58,1234.0
2022-01-27 03:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.1,70.335,5.9,70.335,415.0
2022-01-27 04:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.1,67.755,18.0,68.6,1235.0
2022-01-27 06:20:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,25.4,64.96,43.4,66.47,2885.0
2022-01-27 23:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,37.3,67.245,6.1,67.245,410.0
2022-01-28 02:00:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.6,65.31,18.7,65.94,1233.0
2022-01-28 05:25:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,26.7,61.86,45.4,63.54,2885.0
2022-01-28 08:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,39.0,64.685,6.4,64.685,414.0
2022-01-28 11:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,65.42,6.3,65.42,412.0
2022-01-28 16:45:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.9,63.665,19.2,64.24,1233.0
2022-01-29 00:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.9,65.685,6.3,65.685,414.0
2022-01-29 05:50:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,66.95,6.2,66.95,415.0
2022-01-29 09:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,67.635,6.1,67.635,413.0
2022-01-29 14:40:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,68.505,6.0,68.505,411.0
2022-01-29 20:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,69.3,5.9,69.3,409.0
2022-01-29 22:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,71.12,5.8,71.12,412.0
2022-01-30 03:40:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,72.08,5.7,72.08,411.0
2022-01-30 09:10:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,11.6,71.025,17.3,71.615,1239.0
2022-01-31 03:45:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,24.3,67.62,41.6,69.28,2882.0
2022-02-01 02:25:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,35.7,69.985,5.9,69.985,413.0
2022-02-01 17:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,71.035,5.8,71.035,412.0
2022-02-02 01:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,71.98,5.7,71.98,410.0
2022-02-02 08:05:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,73.205,5.6,73.205,410.0
2022-02-02 18:35:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,11.3,72.47,16.9,72.965,1233.0
2022-02-02 21:25:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.3,73.755,5.6,73.755,413.0
2022-02-02 23:20:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,11.6,71.225,17.2,72.05,1239.0
2022-02-03 06:00:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,23.9,68.875,41.1,70.205,2885.0
2022-02-04 17:30:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,35.3,71.545,5.8,71.545,415.0
2022-02-05 00:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.2,73.37,5.6,73.37,411.0
2022-02-05 00:55:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,75.31,5.5,75.31,414.0
2022-02-05 02:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,76.12,5.4,76.12,411.0
2022-02-05 08:30:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,77.435,5.3,77.435,410.0
2022-02-05 12:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,79.105,5.2,79.105,411.0
2022-02-05 13:55:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,80.015,5.1,80.015,408.0
2022-02-05 21:15:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,10.6,78.39,15.7,78.92,1239.0
2022-02-06 23:25:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,21.9,75.19,37.6,76.745,2886.0
2022-02-07 08:25:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,32.4,79.015,5.2,79.015,411.0
2022-02-07 12:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,81.375,5.1,81.375,415.0
2022-02-07 14:50:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,83.05,5.0,83.05,415.0
2022-02-08 00:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,84.41,4.9,84.41,414.0
2022-02-08 08:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.9,82.69,14.8,83.26,1232.0
2022-02-08 12:50:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10.2,89.445,4.6,89.445,411.0
2022-02-08 14:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,91.04,4.5,91.04,410.0
2022-02-08 16:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.3,88.545,13.8,89.36,1233.0
2022-02-08 20:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,19.3,85.34,33.1,87.015,2880.0
2022-02-09 16:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,28.4,87.93,4.7,87.93,413.0
2022-02-09 21:30:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,89.625,4.6,89.625,412.0
2022-02-10 01:50:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,90.865,4.5,90.865,409.0
2022-02-10 08:45:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.3,89.015,13.8,89.62,1237.0
2022-02-10 19:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9.3,90.55,4.5,90.55,407.0
2022-02-10 22:25:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.7,85.745,14.2,87.27,1239.0
2022-02-10 23:50:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9.7,91.365,4.5,91.365,411.0
2022-02-11 01:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,93.9,4.4,93.9,413.0
2022-02-11 03:50:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.0,91.065,13.4,91.995,1233.0
2022-02-12 03:15:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,19.1,86.255,32.5,88.62,2880.0
2022-02-12 07:00:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,40.8,80.895,73.3,84.32,6181.0
2022-02-14 09:05:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.OPEN,85.0,77.535,158.3,80.675,12771.0
