datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-01-01 00:45:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,2.3,175.395,2.3,175.395,403.0
2022-01-01 04:00:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,4.9,169.044,7.2,171.073,1232.0
2022-01-01 09:45:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.8,173.389,2.4,173.389,416.0
2022-01-02 04:15:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,176.968,2.3,176.968,407.0
2022-01-02 17:15:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,4.7,175.245,7.0,176.432,1235.0
2022-01-04 04:50:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.8,168.474,16.8,171.79,2886.0
2022-01-06 05:05:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,20.9,157.954,37.7,164.12,6187.0
2022-01-06 06:55:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,43.7,150.666,81.4,156.897,12771.0
2022-01-07 11:45:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,92.6,142.459,174.0,149.213,25963.0
2022-01-07 15:20:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,193.4,136.268,367.4,142.399,52317.0
2022-01-08 16:30:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,257.2,144.879,110.2,142.399,15692.0
2022-01-08 18:45:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,107.4,147.192,2.8,147.192,412.0
2022-01-08 23:40:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,5.8,142.99,8.6,144.358,1241.0
2022-01-09 02:15:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.0,136.316,20.6,139.673,2877.0
2022-01-09 06:30:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,17.8,145.789,2.8,145.789,408.0
2022-01-09 08:10:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,5.8,142.512,8.6,143.579,1235.0
2022-01-10 04:10:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,5.8,145.074,2.8,145.074,406.0
2022-01-10 07:40:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,5.9,140.658,8.7,142.079,1236.0
2022-01-10 21:35:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.1,135.87,20.8,138.467,2880.0
2022-01-12 01:20:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,17.9,141.367,2.9,141.367,410.0
2022-01-12 22:25:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,146.653,2.8,146.653,411.0
2022-01-13 01:00:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,151.047,2.7,151.047,408.0
2022-01-13 22:50:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,156.831,2.6,156.831,408.0
2022-01-13 23:55:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,5.4,153.339,8.0,154.474,1236.0
2022-01-14 04:15:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,11.2,147.332,19.2,150.308,2886.0
2022-01-18 05:50:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,23.8,138.139,43.0,143.573,6174.0
2022-01-21 06:50:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,50.0,131.883,93.0,137.288,12768.0
2022-01-21 10:00:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,106.6,123.774,199.6,130.071,25962.0
2022-01-21 20:55:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,223.0,118.194,422.6,123.803,52319.0
2022-01-22 06:25:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,466.2,113.122,888.8,118.201,105057.0
2022-01-22 14:40:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,1029.3,102.472,1918.1,109.76,210531.0
2022-01-22 16:00:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,2090.1,100.926,4008.2,105.154,421477.0
2022-01-22 18:25:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,4468.0,94.424,8476.2,99.498,843363.0
2022-01-22 21:00:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4238.1,101.138,4238.1,99.498,421682.0
2022-01-22 21:25:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2966.7,101.73,1271.4,99.498,126501.0
2022-01-23 02:45:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,17079.3,91.376,18350.7,91.939,1687140.0
2022-01-23 04:45:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9175.3,93.716,9175.4,91.939,843574.0
2022-01-23 05:10:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6422.8,94.885,2752.6,91.939,253070.0
2022-01-23 05:15:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2748.3,94.996,4.3,94.996,408.0
2022-01-23 09:05:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,97.398,4.2,97.398,409.0
2022-01-23 11:15:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,8.8,94.143,13.0,95.195,1238.0
2022-01-23 14:30:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.7,96.918,4.3,96.918,417.0
2022-01-23 16:00:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.2,100.518,4.1,100.518,412.0
2022-01-23 17:40:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,103.188,4.0,103.188,413.0
2022-01-23 20:50:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,8.2,100.828,12.2,101.602,1240.0
2022-01-24 03:20:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,17.2,95.817,29.4,98.217,2888.0
2022-01-24 07:40:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,25.3,99.335,4.1,99.335,407.0
2022-01-24 09:00:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,8.9,93.334,13.0,95.227,1238.0
2022-01-24 13:35:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,18.4,89.527,31.4,91.887,2885.0
2022-01-24 18:45:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,39.6,83.219,71.0,87.052,6181.0
2022-01-25 02:25:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,66.4,89.088,4.6,89.088,410.0
2022-01-25 05:00:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.2,93.294,4.4,93.294,410.0
2022-01-25 08:15:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.0,91.409,13.4,92.028,1233.0
2022-01-25 10:05:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,18.7,88.347,32.1,89.884,2885.0
2022-01-25 16:25:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,27.6,90.831,4.5,90.831,409.0
2022-01-26 00:35:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,93.468,4.4,93.468,411.0
2022-01-26 01:55:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,96.302,4.3,96.302,414.0
2022-01-26 03:20:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,98.653,4.2,98.653,414.0
2022-01-26 04:20:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,8.6,95.747,12.8,96.701,1238.0
2022-01-26 05:50:00,SOLUSDT.BYBIT,Direction.LONG,Offset.OPEN,17.8,92.664,30.6,94.352,2887.0
